Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,709.000,1651.600,709.000,1651.600,709.000,1651.600,354.500,825.800
2,796.500,1872.600,709.000,1651.600,796.500,1872.600,575.500,1349.200
3,515.100,1782.000,515.100,1651.600,796.500,1872.600,545.300,1565.600
4,503.100,2155.700,503.100,1651.600,796.500,2155.700,524.200,1860.650
5,612.300,1842.200,503.100,1651.600,796.500,2155.700,568.250,1851.425
6,441.700,1821.500,441.700,1651.600,796.500,2155.700,504.975,1836.463
7,575.700,2281.600,441.700,1651.600,796.500,2281.600,540.338,2059.031
8,1716.200,2240.700,441.700,1651.600,1716.200,2281.600,1128.269,2149.866
9,486.100,2097.300,441.700,1651.600,1716.200,2281.600,807.184,2123.583
10,588.500,2005.600,441.700,1651.600,1716.200,2281.600,697.842,2064.591
11,521.900,2129.600,441.700,1651.600,1716.200,2281.600,609.871,2097.096
12,632.600,3348.800,441.700,1651.600,1716.200,3348.800,621.236,2722.948
13,1272.100,3348.000,441.700,1651.600,1716.200,3348.800,946.668,3035.474
14,722.900,3425.500,441.700,1651.600,1716.200,3425.500,834.784,3230.487
15,1587.100,4166.400,441.700,1651.600,1716.200,4166.400,1210.942,3698.443
16,814.100,4135.100,441.700,1651.600,1716.200,4166.400,1012.521,3916.772
17,920.300,3398.800,441.700,1651.600,1716.200,4166.400,966.410,3657.786
18,1416.500,4155.800,441.700,1651.600,1716.200,4166.400,1191.455,3906.793
19,922.400,4320.600,441.700,1651.600,1716.200,4320.600,1056.928,4113.696
20,656.600,2514.900,441.700,1651.600,1716.200,4320.600,856.764,3314.298
21,899.200,2713.000,441.700,1651.600,1716.200,4320.600,877.982,3013.649
22,1056.800,4462.600,441.700,1651.600,1716.200,4462.600,967.391,3738.125
23,716.800,2358.100,441.700,1651.600,1716.200,4462.600,842.095,3048.112
24,599.500,2293.100,441.700,1651.600,1716.200,4462.600,720.798,2670.606
25,631.200,2608.200,441.700,1651.600,1716.200,4462.600,675.999,2639.403
26,655.300,2999.900,441.700,1651.600,1716.200,4462.600,665.649,2819.652
27,837.500,2374.000,441.700,1651.600,1716.200,4462.600,751.575,2596.826
28,772.200,2763.200,441.700,1651.600,1716.200,4462.600,761.887,2680.013
29,626.000,2357.400,441.700,1651.600,1716.200,4462.600,693.944,2518.706
30,1109.200,3527.100,441.700,1651.600,1716.200,4462.600,901.572,3022.903
31,1059.100,2695.900,441.700,1651.600,1716.200,4462.600,980.336,2859.402
32,594.100,2295.600,441.700,1651.600,1716.200,4462.600,787.218,2577.501
33,768.200,2248.300,441.700,1651.600,1716.200,4462.600,777.709,2412.900
34,584.300,2663.100,441.700,1651.600,1716.200,4462.600,681.004,2538.000
35,1302.100,2541.500,441.700,1651.600,1716.200,4462.600,991.552,2539.750
36,652.400,2266.100,441.700,1651.600,1716.200,4462.600,821.976,2402.925
37,592.700,2313.000,441.700,1651.600,1716.200,4462.600,707.338,2357.963
38,586.200,2227.300,441.700,1651.600,1716.200,4462.600,646.769,2292.631
39,657.000,2713.700,441.700,1651.600,1716.200,4462.600,651.885,2503.166
40,657.500,2345.600,441.700,1651.600,1716.200,4462.600,654.692,2424.383
41,587.800,2276.400,441.700,1651.600,1716.200,4462.600,621.246,2350.391
42,586.200,2261.300,441.700,1651.600,1716.200,4462.600,603.723,2305.846
43,672.000,2751.700,441.700,1651.600,1716.200,4462.600,637.862,2528.773
44,895.000,3075.500,441.700,1651.600,1716.200,4462.600,766.431,2802.136
45,966.900,2839.600,441.700,1651.600,1716.200,4462.600,866.665,2820.868
46,700.700,2822.200,441.700,1651.600,1716.200,4462.600,783.683,2821.534
47,689.000,2935.400,441.700,1651.600,1716.200,4462.600,736.341,2878.467
48,1281.900,4296.500,441.700,1651.600,1716.200,4462.600,1009.121,3587.484
