Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,4837.600,1431.200,4837.600,1431.200,4837.600,1431.200,2418.800,715.600
2,735.100,7527.400,735.100,1431.200,4837.600,7527.400,1576.950,4121.500
3,549.300,2289.700,549.300,1431.200,4837.600,7527.400,1063.125,3205.600
4,406.300,4282.100,406.300,1431.200,4837.600,7527.400,734.712,3743.850
5,326.800,5195.500,326.800,1431.200,4837.600,7527.400,530.756,4469.675
6,363.600,7136.900,326.800,1431.200,4837.600,7527.400,447.178,5803.288
7,437.000,1354.800,326.800,1354.800,4837.600,7527.400,442.089,3579.044
8,301.400,4883.500,301.400,1354.800,4837.600,7527.400,371.745,4231.272
9,444.400,4304.600,301.400,1354.800,4837.600,7527.400,408.072,4267.936
10,394.400,3763.400,301.400,1354.800,4837.600,7527.400,401.236,4015.668
11,293.000,4797.100,293.000,1354.800,4837.600,7527.400,347.118,4406.384
12,427.800,5473.300,293.000,1354.800,4837.600,7527.400,387.459,4939.842
13,434.200,4464.200,293.000,1354.800,4837.600,7527.400,410.830,4702.021
14,289.600,3719.600,289.600,1354.800,4837.600,7527.400,350.215,4210.810
15,421.000,5474.500,289.600,1354.800,4837.600,7527.400,385.607,4842.655
16,445.900,4237.900,289.600,1354.800,4837.600,7527.400,415.754,4540.278
17,298.700,4093.700,289.600,1354.800,4837.600,7527.400,357.227,4316.989
18,290.300,2644.100,289.600,1354.800,4837.600,7527.400,323.763,3480.544
19,548.800,3694.400,289.600,1354.800,4837.600,7527.400,436.282,3587.472
20,351.400,2604.500,289.600,1354.800,4837.600,7527.400,393.841,3095.986
21,301.700,2264.500,289.600,1354.800,4837.600,7527.400,347.770,2680.243
22,286.100,2237.800,286.100,1354.800,4837.600,7527.400,316.935,2459.022
23,283.400,2304.600,283.400,1354.800,4837.600,7527.400,300.168,2381.811
24,387.600,3531.100,283.400,1354.800,4837.600,7527.400,343.884,2956.455
25,386.800,3607.100,283.400,1354.800,4837.600,7527.400,365.342,3281.778
26,294.400,2925.000,283.400,1354.800,4837.600,7527.400,329.871,3103.389
27,294.400,2495.300,283.400,1354.800,4837.600,7527.400,312.135,2799.344
28,260.600,2534.800,260.600,1354.800,4837.600,7527.400,286.368,2667.072
29,707.500,4016.900,260.600,1354.800,4837.600,7527.400,496.934,3341.986
30,324.800,3010.700,260.600,1354.800,4837.600,7527.400,410.867,3176.343
31,330.900,2624.300,260.600,1354.800,4837.600,7527.400,370.883,2900.322
32,274.700,2361.700,260.600,1354.800,4837.600,7527.400,322.792,2631.011
33,274.100,4330.200,260.600,1354.800,4837.600,7527.400,298.446,3480.605
34,388.400,3279.500,260.600,1354.800,4837.600,7527.400,343.423,3380.053
35,278.000,2428.800,260.600,1354.800,4837.600,7527.400,310.711,2904.426
36,274.700,2231.900,260.600,1354.800,4837.600,7527.400,292.706,2568.163
