Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,822.200,1760.100,822.200,1760.100,822.200,1760.100,411.100,880.050
2,623.800,1913.900,623.800,1760.100,822.200,1913.900,517.450,1396.975
3,528.300,2126.600,528.300,1760.100,822.200,2126.600,522.875,1761.787
4,606.200,2155.700,528.300,1760.100,822.200,2155.700,564.538,1958.744
5,498.200,1922.700,498.200,1760.100,822.200,2155.700,531.369,1940.722
6,482.200,1947.000,482.200,1760.100,822.200,2155.700,506.784,1943.861
7,522.400,1873.700,482.200,1760.100,822.200,2155.700,514.592,1908.780
8,471.300,1833.100,471.300,1760.100,822.200,2155.700,492.946,1870.940
9,446.100,2209.600,446.100,1760.100,822.200,2209.600,469.523,2040.270
10,582.000,2281.200,446.100,1760.100,822.200,2281.200,525.762,2160.735
11,453.300,2183.400,446.100,1760.100,822.200,2281.200,489.531,2172.068
12,498.200,2093.100,446.100,1760.100,822.200,2281.200,493.865,2132.584
13,577.000,2180.800,446.100,1760.100,822.200,2281.200,535.433,2156.692
14,539.100,2547.500,446.100,1760.100,822.200,2547.500,537.266,2352.096
15,951.300,2820.100,446.100,1760.100,951.300,2820.100,744.283,2586.098
16,593.400,2256.400,446.100,1760.100,951.300,2820.100,668.842,2421.249
17,583.600,2433.100,446.100,1760.100,951.300,2820.100,626.221,2427.174
18,624.800,2850.600,446.100,1760.100,951.300,2850.600,625.510,2638.887
19,669.800,2509.200,446.100,1760.100,951.300,2850.600,647.655,2574.044
20,599.700,2417.700,446.100,1760.100,951.300,2850.600,623.678,2495.872
21,736.700,2690.800,446.100,1760.100,951.300,2850.600,680.189,2593.336
22,720.700,2911.300,446.100,1760.100,951.300,2911.300,700.444,2752.318
23,690.900,2455.700,446.100,1760.100,951.300,2911.300,695.672,2604.009
24,608.500,2545.500,446.100,1760.100,951.300,2911.300,652.086,2574.754
25,591.100,2347.000,446.100,1760.100,951.300,2911.300,621.593,2460.877
26,574.600,2487.000,446.100,1760.100,951.300,2911.300,598.097,2473.939
27,624.700,2874.200,446.100,1760.100,951.300,2911.300,611.398,2674.069
28,632.000,2369.900,446.100,1760.100,951.300,2911.300,621.699,2521.985
29,664.700,2463.400,446.100,1760.100,951.300,2911.300,643.200,2492.692
30,621.800,2310.500,446.100,1760.100,951.300,2911.300,632.500,2401.596
31,716.200,2452.000,446.100,1760.100,951.300,2911.300,674.350,2426.798
32,744.400,2368.700,446.100,1760.100,951.300,2911.300,709.375,2397.749
33,731.300,2993.800,446.100,1760.100,951.300,2993.800,720.337,2695.775
34,748.200,2788.700,446.100,1760.100,951.300,2993.800,734.269,2742.237
35,666.300,2478.200,446.100,1760.100,951.300,2993.800,700.284,2610.219
36,618.300,2460.800,446.100,1760.100,951.300,2993.800,659.292,2535.509
37,711.700,2935.700,446.100,1760.100,951.300,2993.800,685.496,2735.605
38,617.000,2358.400,446.100,1760.100,951.300,2993.800,651.248,2547.002
39,583.600,2445.500,446.100,1760.100,951.300,2993.800,617.424,2496.251
40,604.500,2739.800,446.100,1760.100,951.300,2993.800,610.962,2618.026
41,618.700,2719.500,446.100,1760.100,951.300,2993.800,614.831,2668.763
42,736.900,2733.300,446.100,1760.100,951.300,2993.800,675.866,2701.031
43,600.300,2761.200,446.100,1760.100,951.300,2993.800,638.083,2731.116
44,592.900,2367.400,446.100,1760.100,951.300,2993.800,615.491,2549.258
45,624.900,2783.100,446.100,1760.100,951.300,2993.800,620.196,2666.179
46,745.900,2821.700,446.100,1760.100,951.300,2993.800,683.048,2743.939
47,714.700,2833.200,446.100,1760.100,951.300,2993.800,698.874,2788.570
48,796.900,3166.400,446.100,1760.100,951.300,3166.400,747.887,2977.485
49,842.300,3219.100,446.100,1760.100,951.300,3219.100,795.093,3098.292
50,815.400,3241.100,446.100,1760.100,951.300,3241.100,805.247,3169.696
51,849.500,3292.400,446.100,1760.100,951.300,3292.400,827.373,3231.048
52,784.900,3237.200,446.100,1760.100,951.300,3292.400,806.137,3234.124
53,882.700,4256.800,446.100,1760.100,951.300,4256.800,844.418,3745.462
54,1018.300,3190.300,446.100,1760.100,1018.300,4256.800,931.359,3467.881
55,804.200,3208.200,446.100,1760.100,1018.300,4256.800,867.780,3338.041
56,847.300,3308.800,446.100,1760.100,1018.300,4256.800,857.540,3323.420
57,872.000,3499.500,446.100,1760.100,1018.300,4256.800,864.770,3411.460
58,819.900,3142.700,446.100,1760.100,1018.300,4256.800,842.335,3277.080
59,787.600,3165.700,446.100,1760.100,1018.300,4256.800,814.967,3221.390
60,868.500,3711.500,446.100,1760.100,1018.300,4256.800,841.734,3466.445
61,852.500,3297.100,446.100,1760.100,1018.300,4256.800,847.117,3381.773
62,785.300,3107.200,446.100,1760.100,1018.300,4256.800,816.208,3244.486
63,851.100,3405.400,446.100,1760.100,1018.300,4256.800,833.654,3324.943
64,1004.400,3457.600,446.100,1760.100,1018.300,4256.800,919.027,3391.272
65,843.000,3128.200,446.100,1760.100,1018.300,4256.800,881.014,3259.736
66,829.000,3171.400,446.100,1760.100,1018.300,4256.800,855.007,3215.568
67,1006.300,3237.000,446.100,1760.100,1018.300,4256.800,930.653,3226.284
68,833.300,3436.500,446.100,1760.100,1018.300,4256.800,881.977,3331.392
69,864.400,3428.700,446.100,1760.100,1018.300,4256.800,873.188,3380.046
70,870.700,3582.200,446.100,1760.100,1018.300,4256.800,871.944,3481.123
