Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,812.700,1781.000,812.700,1781.000,812.700,1781.000,406.350,890.500
2,517.400,2125.900,517.400,1781.000,812.700,2125.900,461.875,1508.200
3,529.900,2285.400,517.400,1781.000,812.700,2285.400,495.887,1896.800
4,498.200,2384.900,498.200,1781.000,812.700,2384.900,497.044,2140.850
5,469.200,2310.700,469.200,1781.000,812.700,2384.900,483.122,2225.775
6,468.100,2143.000,468.100,1781.000,812.700,2384.900,475.611,2184.387
7,456.700,2449.900,456.700,1781.000,812.700,2449.900,466.155,2317.144
8,532.300,2655.600,456.700,1781.000,812.700,2655.600,499.228,2486.372
9,525.800,2599.200,456.700,1781.000,812.700,2655.600,512.514,2542.786
10,590.800,2763.100,456.700,1781.000,812.700,2763.100,551.657,2652.943
11,616.200,2767.000,456.700,1781.000,812.700,2767.000,583.928,2709.971
12,718.900,3536.700,456.700,1781.000,812.700,3536.700,651.414,3123.336
13,875.200,4120.600,456.700,1781.000,875.200,4120.600,763.307,3621.968
14,898.400,4079.300,456.700,1781.000,898.400,4120.600,830.854,3850.634
15,856.100,3766.300,456.700,1781.000,898.400,4120.600,843.477,3808.467
16,900.900,4164.000,456.700,1781.000,900.900,4164.000,872.188,3986.233
17,1427.700,4894.900,456.700,1781.000,1427.700,4894.900,1149.944,4440.567
18,923.900,3862.500,456.700,1781.000,1427.700,4894.900,1036.922,4151.533
19,916.900,4076.500,456.700,1781.000,1427.700,4894.900,976.911,4114.017
20,910.500,3744.500,456.700,1781.000,1427.700,4894.900,943.706,3929.258
21,860.200,3802.500,456.700,1781.000,1427.700,4894.900,901.953,3865.879
22,907.800,4028.300,456.700,1781.000,1427.700,4894.900,904.876,3947.090
23,930.200,3879.700,456.700,1781.000,1427.700,4894.900,917.538,3913.395
24,831.500,3866.800,456.700,1781.000,1427.700,4894.900,874.519,3890.097
25,1151.800,4363.100,456.700,1781.000,1427.700,4894.900,1013.160,4126.599
26,932.700,5026.600,456.700,1781.000,1427.700,5026.600,972.930,4576.599
27,882.600,4812.400,456.700,1781.000,1427.700,5026.600,927.765,4694.500
28,1022.000,4062.100,456.700,1781.000,1427.700,5026.600,974.882,4378.300
29,944.300,3767.500,456.700,1781.000,1427.700,5026.600,959.591,4072.900
30,896.000,5697.000,456.700,1781.000,1427.700,5697.000,927.796,4884.950
31,2027.600,5046.400,456.700,1781.000,2027.600,5697.000,1477.698,4965.675
32,869.200,7711.200,456.700,1781.000,2027.600,7711.200,1173.449,6338.437
33,944.200,3841.100,456.700,1781.000,2027.600,7711.200,1058.824,5089.769
34,902.200,4142.700,456.700,1781.000,2027.600,7711.200,980.512,4616.234
35,1154.200,3930.100,456.700,1781.000,2027.600,7711.200,1067.356,4273.167
36,914.900,3815.700,456.700,1781.000,2027.600,7711.200,991.128,4044.434
37,912.800,4007.900,456.700,1781.000,2027.600,7711.200,951.964,4026.167
38,1194.800,3907.700,456.700,1781.000,2027.600,7711.200,1073.382,3966.933
39,880.800,3790.400,456.700,1781.000,2027.600,7711.200,977.091,3878.667
40,854.300,4236.100,456.700,1781.000,2027.600,7711.200,915.696,4057.383
41,1018.700,4511.400,456.700,1781.000,2027.600,7711.200,967.198,4284.392
42,905.800,3828.500,456.700,1781.000,2027.600,7711.200,936.499,4056.446
43,1674.700,4658.100,456.700,1781.000,2027.600,7711.200,1305.599,4357.273
44,1468.900,8560.500,456.700,1781.000,2027.600,8560.500,1387.250,6458.886
45,1571.900,7652.500,456.700,1781.000,2027.600,8560.500,1479.575,7055.693
46,1366.200,5715.700,456.700,1781.000,2027.600,8560.500,1422.887,6385.697
47,1441.100,7142.300,456.700,1781.000,2027.600,8560.500,1431.994,6763.998
48,1143.100,5068.400,456.700,1781.000,2027.600,8560.500,1287.547,5916.199
49,1397.500,6268.800,456.700,1781.000,2027.600,8560.500,1342.523,6092.500
50,1228.900,4618.700,456.700,1781.000,2027.600,8560.500,1285.712,5355.600
51,1363.600,5949.300,456.700,1781.000,2027.600,8560.500,1324.656,5652.450
52,2009.900,6325.400,456.700,1781.000,2027.600,8560.500,1667.278,5988.925
53,1076.400,4859.200,456.700,1781.000,2027.600,8560.500,1371.839,5424.062
54,1310.000,5835.100,456.700,1781.000,2027.600,8560.500,1340.919,5629.581
55,916.000,4260.900,456.700,1781.000,2027.600,8560.500,1128.460,4945.241
56,1020.300,4969.500,456.700,1781.000,2027.600,8560.500,1074.380,4957.370
57,2024.500,4758.000,456.700,1781.000,2027.600,8560.500,1549.440,4857.685
58,1028.700,4916.800,456.700,1781.000,2027.600,8560.500,1289.070,4887.243
59,1446.300,4746.000,456.700,1781.000,2027.600,8560.500,1367.685,4816.621
60,910.800,3935.100,456.700,1781.000,2027.600,8560.500,1139.242,4375.861
61,855.400,5301.800,456.700,1781.000,2027.600,8560.500,997.321,4838.830
62,1305.200,3857.700,456.700,1781.000,2027.600,8560.500,1151.261,4348.265
63,981.000,3773.100,456.700,1781.000,2027.600,8560.500,1066.130,4060.683
64,889.700,4222.300,456.700,1781.000,2027.600,8560.500,977.915,4141.491
65,977.800,3794.600,456.700,1781.000,2027.600,8560.500,977.858,3968.046
66,934.200,3593.100,456.700,1781.000,2027.600,8560.500,956.029,3780.573
67,835.400,4240.200,456.700,1781.000,2027.600,8560.500,895.714,4010.386
68,1014.300,3715.000,456.700,1781.000,2027.600,8560.500,955.007,3862.693
69,833.700,3745.700,456.700,1781.000,2027.600,8560.500,894.354,3804.197
70,812.700,4203.100,456.700,1781.000,2027.600,8560.500,853.527,4003.648
71,1644.200,3924.300,456.700,1781.000,2027.600,8560.500,1248.863,3963.974
72,860.700,3910.100,456.700,1781.000,2027.600,8560.500,1054.782,3937.037
73,871.700,5568.600,456.700,1781.000,2027.600,8560.500,963.241,4752.819
74,1526.300,3806.900,456.700,1781.000,2027.600,8560.500,1244.770,4279.859
75,879.700,3758.600,456.700,1781.000,2027.600,8560.500,1062.235,4019.230
76,953.000,3919.700,456.700,1781.000,2027.600,8560.500,1007.618,3969.465
77,916.300,3765.600,456.700,1781.000,2027.600,8560.500,961.959,3867.532
78,878.700,3754.700,456.700,1781.000,2027.600,8560.500,920.329,3811.116
79,974.700,4260.100,456.700,1781.000,2027.600,8560.500,947.515,4035.608
80,974.700,3666.700,456.700,1781.000,2027.600,8560.500,961.107,3851.154
81,960.900,3824.800,456.700,1781.000,2027.600,8560.500,961.004,3837.977
82,1025.900,4016.500,456.700,1781.000,2027.600,8560.500,993.452,3927.239
83,968.300,3759.400,456.700,1781.000,2027.600,8560.500,980.876,3843.319
84,889.300,4352.200,456.700,1781.000,2027.600,8560.500,935.088,4097.760
85,1253.200,5939.100,456.700,1781.000,2027.600,8560.500,1094.144,5018.430
86,1285.500,4946.000,456.700,1781.000,2027.600,8560.500,1189.822,4982.215
87,1138.100,6769.400,456.700,1781.000,2027.600,8560.500,1163.961,5875.807
88,1624.200,6182.900,456.700,1781.000,2027.600,8560.500,1394.080,6029.354
89,1305.400,6494.300,456.700,1781.000,2027.600,8560.500,1349.740,6261.827
90,1377.900,6109.100,456.700,1781.000,2027.600,8560.500,1363.820,6185.463
91,1334.500,8425.400,456.700,1781.000,2027.600,8560.500,1349.160,7305.432
92,1765.800,5908.900,456.700,1781.000,2027.600,8560.500,1557.480,6607.166
93,1491.900,7524.400,456.700,1781.000,2027.600,8560.500,1524.690,7065.783
94,1401.300,7026.800,456.700,1781.000,2027.600,8560.500,1462.995,7046.291
95,2345.800,7554.400,456.700,1781.000,2345.800,8560.500,1904.398,7300.346
96,1978.600,7098.800,456.700,1781.000,2345.800,8560.500,1941.499,7199.573
97,1800.900,5664.300,456.700,1781.000,2345.800,8560.500,1871.199,6431.936
98,1382.500,7314.600,456.700,1781.000,2345.800,8560.500,1626.850,6873.268
99,1505.300,6270.700,456.700,1781.000,2345.800,8560.500,1566.075,6571.984
100,2034.300,6521.300,456.700,1781.000,2345.800,8560.500,1800.187,6546.642
101,1344.900,5636.400,456.700,1781.000,2345.800,8560.500,1572.544,6091.521
102,2976.500,8990.500,456.700,1781.000,2976.500,8990.500,2274.522,7541.011
103,1597.900,8195.300,456.700,1781.000,2976.500,8990.500,1936.211,7868.155
104,1443.000,6175.800,456.700,1781.000,2976.500,8990.500,1689.605,7021.978
105,2189.100,7319.900,456.700,1781.000,2976.500,8990.500,1939.353,7170.939
106,1829.700,6769.300,456.700,1781.000,2976.500,8990.500,1884.526,6970.119
107,1494.600,5951.500,456.700,1781.000,2976.500,8990.500,1689.563,6460.810
108,1442.000,7524.900,456.700,1781.000,2976.500,8990.500,1565.782,6992.855
109,1439.700,6223.200,456.700,1781.000,2976.500,8990.500,1502.741,6608.027
