Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
73,285.800,1119.600,272.500,974.600,616.900,1832.900,323.703,1165.375
74,278.000,1110.800,272.500,974.600,616.900,1832.900,300.851,1138.087
75,267.300,1116.800,267.300,974.600,616.900,1832.900,284.076,1127.444
76,276.900,1133.100,267.300,974.600,616.900,1832.900,280.488,1130.272
77,289.200,1169.400,267.300,974.600,616.900,1832.900,284.844,1149.836
78,345.200,1282.200,267.300,974.600,616.900,1832.900,315.022,1216.018
79,328.700,1216.100,267.300,974.600,616.900,1832.900,321.861,1216.059
80,332.000,1146.300,267.300,974.600,616.900,1832.900,326.930,1181.179
81,319.500,1120.300,267.300,974.600,616.900,1832.900,323.215,1150.740
82,295.700,1108.900,267.300,974.600,616.900,1832.900,309.458,1129.820
83,294.200,1107.800,267.300,974.600,616.900,1832.900,301.829,1118.810
84,284.800,1149.500,267.300,974.600,616.900,1832.900,293.314,1134.155
85,275.000,1140.500,267.300,974.600,616.900,1832.900,284.157,1137.327
86,273.200,1102.400,267.300,974.600,616.900,1832.900,278.679,1119.864
87,279.500,1117.700,267.300,974.600,616.900,1832.900,279.089,1118.782
88,325.000,1317.300,267.300,974.600,616.900,1832.900,302.045,1218.041
89,318.800,1126.900,267.300,974.600,616.900,1832.900,310.422,1172.470
90,276.900,1111.200,267.300,974.600,616.900,1832.900,293.661,1141.835
91,275.600,1153.600,267.300,974.600,616.900,1832.900,284.631,1147.718
92,273.100,1145.000,267.300,974.600,616.900,1832.900,278.865,1146.359
93,264.000,1168.000,264.000,974.600,616.900,1832.900,271.433,1157.179
94,273.700,1118.200,264.000,974.600,616.900,1832.900,272.566,1137.690
95,289.000,1116.700,264.000,974.600,616.900,1832.900,280.783,1127.195
96,289.300,1119.400,264.000,974.600,616.900,1832.900,285.042,1123.297
97,359.900,1159.000,264.000,974.600,616.900,1832.900,322.471,1141.149
98,452.300,1217.500,264.000,974.600,616.900,1832.900,387.385,1179.324
99,312.700,1127.200,264.000,974.600,616.900,1832.900,350.043,1153.262
100,286.400,1149.100,264.000,974.600,616.900,1832.900,318.221,1151.181
101,275.800,1154.400,264.000,974.600,616.900,1832.900,297.011,1152.791
102,278.100,1127.400,264.000,974.600,616.900,1832.900,287.555,1140.095
103,275.200,1115.900,264.000,974.600,616.900,1832.900,281.378,1127.998
104,273.900,1094.800,264.000,974.600,616.900,1832.900,277.639,1111.399
105,274.500,1142.600,264.000,974.600,616.900,1832.900,276.069,1126.999
106,276.200,1099.800,264.000,974.600,616.900,1832.900,276.135,1113.400
107,276.200,1272.000,264.000,974.600,616.900,1832.900,276.167,1192.700
108,367.300,1170.000,264.000,974.600,616.900,1832.900,321.734,1181.350
109,292.900,1207.800,264.000,974.600,616.900,1832.900,307.317,1194.575
110,375.500,1256.600,264.000,974.600,616.900,1832.900,341.408,1225.587
111,301.700,1133.600,264.000,974.600,616.900,1832.900,321.554,1179.594
112,288.400,1118.200,264.000,974.600,616.900,1832.900,304.977,1148.897
113,291.200,1127.600,264.000,974.600,616.900,1832.900,298.089,1138.248
114,286.600,1104.100,264.000,974.600,616.900,1832.900,292.344,1121.174
115,285.800,1103.500,264.000,974.600,616.900,1832.900,289.072,1112.337
116,286.800,1155.000,264.000,974.600,616.900,1832.900,287.936,1133.669
117,364.200,1236.800,264.000,974.600,616.900,1832.900,326.068,1185.234
118,328.600,1182.400,264.000,974.600,616.900,1832.900,327.334,1183.817
119,281.900,1197.600,264.000,974.600,616.900,1832.900,304.617,1190.709
120,362.500,1180.800,264.000,974.600,616.900,1832.900,333.559,1185.754
121,284.300,1137.400,264.000,974.600,616.900,1832.900,308.929,1161.577
122,276.400,1146.100,264.000,974.600,616.900,1832.900,292.665,1153.839
123,277.600,1132.700,264.000,974.600,616.900,1832.900,285.132,1143.269
124,277.100,1104.500,264.000,974.600,616.900,1832.900,281.116,1123.885
125,274.300,1104.800,264.000,974.600,616.900,1832.900,277.708,1114.342
126,274.100,1155.500,264.000,974.600,616.900,1832.900,275.904,1134.921
127,313.800,1195.800,264.000,974.600,616.900,1832.900,294.852,1165.361
128,337.500,1180.500,264.000,974.600,616.900,1832.900,316.176,1172.930
129,330.500,1192.000,264.000,974.600,616.900,1832.900,323.338,1182.465
130,320.900,1167.800,264.000,974.600,616.900,1832.900,322.119,1175.133
131,293.600,1135.800,264.000,974.600,616.900,1832.900,307.860,1155.466
132,287.300,1141.600,264.000,974.600,616.900,1832.900,297.580,1148.533
133,273.100,1125.200,264.000,974.600,616.900,1832.900,285.340,1136.867
134,273.300,1123.800,264.000,974.600,616.900,1832.900,279.320,1130.333
135,272.500,1112.300,264.000,974.600,616.900,1832.900,275.910,1121.317
136,297.600,1236.300,264.000,974.600,616.900,1832.900,286.755,1178.808
137,360.400,1317.500,264.000,974.600,616.900,1832.900,323.577,1248.154
138,336.900,1461.000,264.000,974.600,616.900,1832.900,330.239,1354.577
139,441.200,1359.600,264.000,974.600,616.900,1832.900,385.719,1357.089
140,309.100,1145.100,264.000,974.600,616.900,1832.900,347.410,1251.094
141,278.900,1135.300,264.000,974.600,616.900,1832.900,313.155,1193.197
142,276.400,1093.100,264.000,974.600,616.900,1832.900,294.777,1143.149
143,285.800,1080.700,264.000,974.600,616.900,1832.900,290.289,1111.924
144,276.200,1125.400,264.000,974.600,616.900,1832.900,283.244,1118.662
145,291.800,1113.400,264.000,974.600,616.900,1832.900,287.522,1116.031
146,302.200,1178.000,264.000,974.600,616.900,1832.900,294.861,1147.016
147,358.000,1162.900,264.000,974.600,616.900,1832.900,326.431,1154.958
148,305.400,1250.100,264.000,974.600,616.900,1832.900,315.915,1202.529
149,342.100,1213.200,264.000,974.600,616.900,1832.900,329.008,1207.864
150,290.400,1136.800,264.000,974.600,616.900,1832.900,309.704,1172.332
151,281.400,1110.600,264.000,974.600,616.900,1832.900,295.552,1141.466
152,274.000,1113.700,264.000,974.600,616.900,1832.900,284.776,1127.583
153,278.600,1117.800,264.000,974.600,616.900,1832.900,281.688,1122.692
154,299.100,1264.000,264.000,974.600,616.900,1832.900,290.394,1193.346
155,280.200,1111.800,264.000,974.600,616.900,1832.900,285.297,1152.573
156,293.200,1179.800,264.000,974.600,616.900,1832.900,289.248,1166.186
157,331.400,1137.800,264.000,974.600,616.900,1832.900,310.324,1151.993
158,284.400,1219.700,264.000,974.600,616.900,1832.900,297.362,1185.847
159,328.800,1124.800,264.000,974.600,616.900,1832.900,313.081,1155.323
160,313.400,1086.700,264.000,974.600,616.900,1832.900,313.241,1121.012
161,281.600,1063.500,264.000,974.600,616.900,1832.900,297.420,1092.256
162,289.400,1072.100,264.000,974.600,616.900,1832.900,293.410,1082.178
163,286.700,1151.800,264.000,974.600,616.900,1832.900,290.055,1116.989
164,296.700,1123.400,264.000,974.600,616.900,1832.900,293.378,1120.194
165,264.400,1129.400,264.000,974.600,616.900,1832.900,278.889,1124.797
166,280.600,1145.800,264.000,974.600,616.900,1832.900,279.744,1135.299
167,324.800,1164.200,264.000,974.600,616.900,1832.900,302.272,1149.749
168,287.700,1252.300,264.000,974.600,616.900,1832.900,294.986,1201.025
169,380.000,1315.200,264.000,974.600,616.900,1832.900,337.493,1258.112
170,297.800,1142.200,264.000,974.600,616.900,1832.900,317.647,1200.156
171,279.700,1119.700,264.000,974.600,616.900,1832.900,298.673,1159.928
172,273.800,1137.100,264.000,974.600,616.900,1832.900,286.237,1148.514
173,278.200,1100.400,264.000,974.600,616.900,1832.900,282.218,1124.457
174,290.500,1080.300,264.000,974.600,616.900,1832.900,286.359,1102.379
175,287.500,1052.100,264.000,974.600,616.900,1832.900,286.930,1077.239
176,389.900,1121.100,264.000,974.600,616.900,1832.900,338.415,1099.170
177,403.400,1199.300,264.000,974.600,616.900,1832.900,370.907,1149.235
178,312.800,1087.800,264.000,974.600,616.900,1832.900,341.854,1118.517
179,285.900,1062.200,264.000,974.600,616.900,1832.900,313.877,1090.359
180,281.500,1092.600,264.000,974.600,616.900,1832.900,297.688,1091.479
181,277.200,1101.700,264.000,974.600,616.900,1832.900,287.444,1096.590
182,277.200,1177.700,264.000,974.600,616.900,1832.900,282.322,1137.145
183,279.500,1170.400,264.000,974.600,616.900,1832.900,280.911,1153.772
184,277.100,1149.400,264.000,974.600,616.900,1832.900,279.006,1151.586
185,276.100,1115.600,264.000,974.600,616.900,1832.900,277.553,1133.593
186,306.200,1135.100,264.000,974.600,616.900,1832.900,291.876,1134.347
187,345.800,1182.700,264.000,974.600,616.900,1832.900,318.838,1158.523
188,309.800,1140.800,264.000,974.600,616.900,1832.900,314.319,1149.662
189,278.300,1115.800,264.000,974.600,616.900,1832.900,296.310,1132.731
190,274.000,1107.800,264.000,974.600,616.900,1832.900,285.155,1120.265
191,288.100,1103.100,264.000,974.600,616.900,1832.900,286.627,1111.683
192,376.900,1110.000,264.000,974.600,616.900,1832.900,331.764,1110.841
193,293.900,1063.700,264.000,974.600,616.900,1832.900,312.832,1087.271
194,285.400,1058.000,264.000,974.600,616.900,1832.900,299.116,1072.635
195,273.900,1094.800,264.000,974.600,616.900,1832.900,286.508,1083.718
196,332.400,1122.600,264.000,974.600,616.900,1832.900,309.454,1103.159
197,333.300,1171.900,264.000,974.600,616.900,1832.900,321.377,1137.529
198,301.000,1131.200,264.000,974.600,616.900,1832.900,311.188,1134.365
199,299.800,1129.700,264.000,974.600,616.900,1832.900,305.494,1132.032
200,278.200,1120.600,264.000,974.600,616.900,1832.900,291.847,1126.316
201,275.300,1206.900,264.000,974.600,616.900,1832.900,283.574,1166.608
202,297.800,1138.000,264.000,974.600,616.900,1832.900,290.687,1152.304
203,277.500,1104.900,264.000,974.600,616.900,1832.900,284.093,1128.602
204,275.800,1111.700,264.000,974.600,616.900,1832.900,279.947,1120.151
205,276.700,1111.600,264.000,974.600,616.900,1832.900,278.323,1115.876
206,276.400,1187.300,264.000,974.600,616.900,1832.900,277.362,1151.588
207,322.100,1187.100,264.000,974.600,616.900,1832.900,299.731,1169.344
208,320.900,1091.700,264.000,974.600,616.900,1832.900,310.315,1130.522
209,295.900,1054.400,264.000,974.600,616.900,1832.900,303.108,1092.461
210,284.900,1062.500,264.000,974.600,616.900,1832.900,294.004,1077.480
211,285.700,1108.400,264.000,974.600,616.900,1832.900,289.852,1092.940
212,292.200,1079.500,264.000,974.600,616.900,1832.900,291.026,1086.220
213,272.500,1113.900,264.000,974.600,616.900,1832.900,281.763,1100.060
214,282.300,1096.500,264.000,974.600,616.900,1832.900,282.031,1098.280
215,294.600,1137.400,264.000,974.600,616.900,1832.900,288.316,1117.840
216,275.700,1142.400,264.000,974.600,616.900,1832.900,282.008,1130.120
217,297.000,1268.300,264.000,974.600,616.900,1832.900,289.504,1199.210
218,370.400,1217.500,264.000,974.600,616.900,1832.900,329.952,1208.355
219,291.300,1127.600,264.000,974.600,616.900,1832.900,310.626,1167.978
220,278.300,1100.300,264.000,974.600,616.900,1832.900,294.463,1134.139
221,309.400,1163.400,264.000,974.600,616.900,1832.900,301.931,1148.769
222,283.900,1114.100,264.000,974.600,616.900,1832.900,292.916,1131.435
223,286.000,1068.700,264.000,974.600,616.900,1832.900,289.458,1100.067
224,288.400,1071.600,264.000,974.600,616.900,1832.900,288.929,1085.834
225,286.300,1058.300,264.000,974.600,616.900,1832.900,287.614,1072.067
226,284.200,1086.600,264.000,974.600,616.900,1832.900,285.907,1079.333
227,307.300,1177.200,264.000,974.600,616.900,1832.900,296.604,1128.267
