Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,640.900,1701.500,640.900,1701.500,640.900,1701.500,320.450,850.750
2,542.300,1760.000,542.300,1701.500,640.900,1760.000,431.375,1305.375
3,482.400,1855.700,482.400,1701.500,640.900,1855.700,456.887,1580.537
4,281.500,1119.300,281.500,1119.300,640.900,1855.700,369.194,1349.919
5,275.300,1123.800,275.300,1119.300,640.900,1855.700,322.247,1236.859
6,277.200,1087.500,275.300,1087.500,640.900,1855.700,299.723,1162.180
7,280.100,1105.000,275.300,1087.500,640.900,1855.700,289.912,1133.590
8,280.400,1101.500,275.300,1087.500,640.900,1855.700,285.156,1117.545
9,273.300,1081.200,273.300,1081.200,640.900,1855.700,279.228,1099.372
10,273.400,1075.500,273.300,1075.500,640.900,1855.700,276.314,1087.436
11,272.700,1970.500,272.700,1075.500,640.900,1970.500,274.507,1528.968
12,453.300,1316.600,272.700,1075.500,640.900,1970.500,363.903,1422.784
13,328.200,1328.500,272.700,1075.500,640.900,1970.500,346.052,1375.642
14,393.000,1104.400,272.700,1075.500,640.900,1970.500,369.526,1240.021
15,275.700,1450.400,272.700,1075.500,640.900,1970.500,322.613,1345.211
16,516.700,2011.300,272.700,1075.500,640.900,2011.300,419.656,1678.255
17,477.500,1862.800,272.700,1075.500,640.900,2011.300,448.578,1770.528
18,693.700,1733.800,272.700,1075.500,693.700,2011.300,571.139,1752.164
19,379.500,1529.500,272.700,1075.500,693.700,2011.300,475.320,1640.832
20,396.200,1426.400,272.700,1075.500,693.700,2011.300,435.760,1533.616
21,336.100,1314.100,272.700,1075.500,693.700,2011.300,385.930,1423.858
22,336.600,1350.900,272.700,1075.500,693.700,2011.300,361.265,1387.379
23,359.700,1259.000,272.700,1075.500,693.700,2011.300,360.482,1323.189
24,321.500,1211.500,272.700,1075.500,693.700,2011.300,340.991,1267.345
25,363.200,1259.000,272.700,1075.500,693.700,2011.300,352.096,1263.172
26,291.700,1097.100,272.700,1075.500,693.700,2011.300,321.898,1180.136
27,272.500,1395.000,272.500,1075.500,693.700,2011.300,297.199,1287.568
28,282.800,1142.400,272.500,1075.500,693.700,2011.300,289.999,1214.984
29,273.700,1093.500,272.500,1075.500,693.700,2011.300,281.850,1154.242
30,280.500,1137.100,272.500,1075.500,693.700,2011.300,281.175,1145.671
31,302.100,1159.200,272.500,1075.500,693.700,2011.300,291.637,1152.436
32,324.600,1317.500,272.500,1075.500,693.700,2011.300,308.119,1234.968
33,349.600,1360.500,272.500,1075.500,693.700,2011.300,328.859,1297.734
34,306.800,1224.100,272.500,1075.500,693.700,2011.300,317.830,1260.917
35,291.200,1179.100,272.500,1075.500,693.700,2011.300,304.515,1220.008
36,283.200,1142.100,272.500,1075.500,693.700,2011.300,293.857,1181.054
37,300.900,1139.000,272.500,1075.500,693.700,2011.300,297.379,1160.027
38,289.200,1127.800,272.500,1075.500,693.700,2011.300,293.289,1143.914
39,287.100,1129.800,272.500,1075.500,693.700,2011.300,290.195,1136.857
40,281.100,1194.700,272.500,1075.500,693.700,2011.300,285.647,1165.778
41,316.700,1212.200,272.500,1075.500,693.700,2011.300,301.174,1188.989
42,429.800,1228.600,272.500,1075.500,693.700,2011.300,365.487,1208.795
43,365.900,1148.300,272.500,1075.500,693.700,2011.300,365.693,1178.547
44,289.500,1146.600,272.500,1075.500,693.700,2011.300,327.597,1162.574
45,287.700,1114.600,272.500,1075.500,693.700,2011.300,307.648,1138.587
46,289.800,1111.300,272.500,1075.500,693.700,2011.300,298.724,1124.943
47,296.400,1132.900,272.500,1075.500,693.700,2011.300,297.562,1128.922
48,298.800,1111.200,272.500,1075.500,693.700,2011.300,298.181,1120.061
49,298.400,1145.100,272.500,1075.500,693.700,2011.300,298.291,1132.580
50,330.500,1500.700,272.500,1075.500,693.700,2011.300,314.395,1316.640
51,467.300,1451.100,272.500,1075.500,693.700,2011.300,390.848,1383.870
52,382.000,1189.800,272.500,1075.500,693.700,2011.300,386.424,1286.835
53,286.200,1136.900,272.500,1075.500,693.700,2011.300,336.312,1211.868
54,287.400,1136.900,272.500,1075.500,693.700,2011.300,311.856,1174.384
55,285.400,1112.300,272.500,1075.500,693.700,2011.300,298.628,1143.342
56,274.700,1132.800,272.500,1075.500,693.700,2011.300,286.664,1138.071
57,285.900,1134.100,272.500,1075.500,693.700,2011.300,286.282,1136.085
58,285.100,1134.000,272.500,1075.500,693.700,2011.300,285.691,1135.043
59,286.200,1500.600,272.500,1075.500,693.700,2011.300,285.945,1317.821
60,447.700,1276.500,272.500,1075.500,693.700,2011.300,366.823,1297.161
61,290.300,1177.600,272.500,1075.500,693.700,2011.300,328.561,1237.380
62,296.200,1210.800,272.500,1075.500,693.700,2011.300,312.381,1224.090
63,311.900,1101.500,272.500,1075.500,693.700,2011.300,312.140,1162.795
64,297.100,1108.000,272.500,1075.500,693.700,2011.300,304.620,1135.398
65,298.300,1104.400,272.500,1075.500,693.700,2011.300,301.460,1119.899
66,289.600,1122.500,272.500,1075.500,693.700,2011.300,295.530,1121.199
67,289.500,1195.800,272.500,1075.500,693.700,2011.300,292.515,1158.500
68,299.000,1664.100,272.500,1075.500,693.700,2011.300,295.758,1411.300
69,386.500,1242.100,272.500,1075.500,693.700,2011.300,341.129,1326.700
70,281.700,1136.300,272.500,1075.500,693.700,2011.300,311.414,1231.500
71,279.700,1106.000,272.500,1075.500,693.700,2011.300,295.557,1168.750
72,282.600,1102.200,272.500,1075.500,693.700,2011.300,289.079,1135.475
73,274.400,1101.400,272.500,1075.500,693.700,2011.300,281.739,1118.437
74,274.100,1098.800,272.500,1075.500,693.700,2011.300,277.920,1108.619
75,271.600,1090.400,271.600,1075.500,693.700,2011.300,274.760,1099.509
76,272.000,1100.000,271.600,1075.500,693.700,2011.300,273.380,1099.755
77,273.900,1139.700,271.600,1075.500,693.700,2011.300,273.640,1119.727
78,297.400,1124.800,271.600,1075.500,693.700,2011.300,285.520,1122.264
79,395.900,1277.700,271.600,1075.500,693.700,2011.300,340.710,1199.982
80,318.800,1107.300,271.600,1075.500,693.700,2011.300,329.755,1153.641
81,288.800,1079.300,271.600,1075.500,693.700,2011.300,309.277,1116.470
82,274.300,1085.000,271.600,1075.500,693.700,2011.300,291.789,1100.735
83,283.700,1126.600,271.600,1075.500,693.700,2011.300,287.744,1113.668
84,274.100,1168.500,271.600,1075.500,693.700,2011.300,280.922,1141.084
85,275.500,1180.000,271.600,1075.500,693.700,2011.300,278.211,1160.542
86,272.700,1200.500,271.600,1075.500,693.700,2011.300,275.456,1180.521
87,276.200,1143.600,271.600,1075.500,693.700,2011.300,275.828,1162.060
88,276.100,1137.300,271.600,1075.500,693.700,2011.300,275.964,1149.680
89,364.300,1356.000,271.600,1075.500,693.700,2011.300,320.132,1252.840
90,319.000,1163.900,271.600,1075.500,693.700,2011.300,319.566,1208.370
